Criterion,Raw_weight,Normalized_weight,Direction
RECOVERY_WINDOW,0.19487305610869005,0.5204266361577424,benefit
DOWNSTREAM_SPILLOVER,0.11949790336623572,0.3191302744393085,benefit
ROUTE_30DAY_DISR_RATE,0.029212440475646452,0.07801454153938839,benefit
CATE_T1,0.022938831382628127,0.06126028447561488,benefit
ROUTE_STRATEGIC_VALUE,0.007926427842698532,0.021168263387945682,benefit
