Week,Date,Year,Flights,Actual_Disruption_Rate,Predicted_Disruption_Rate,MAE,AUC,AUC_DEVIATION,CUSUM,CUSUM_ALERT,AUC_MA20,AUC_STD20,UPPER_BAND,LOWER_BAND,BOLLINGER_ALERT,AUC_CHANGE,CHANGE_ALERT,TOTAL_ALERTS,ALERT_TIER
2009-W01,2009-01-01,2009,69144,0.24025222723591347,0.48943140123069734,0.4636701322179814,0.6703973977156303,-0.022887992490851383,-0.022887992490851383,0,,,,,0,,0,0,Green
2009-W02,2009-01-05,2009,120811,0.21367259603844022,0.5171979705411414,0.4839624148904006,0.6511147998565978,-0.04217059034988391,-0.06505858284073529,0,,,,,0,0.019282597859032524,0,0,Green
2009-W03,2009-01-12,2009,119524,0.18269970884508552,0.4707937505334941,0.45865663803029755,0.666234598234074,-0.027050791972407673,-0.09210937481314296,0,,,,,0,0.015119798377476235,0,0,Green
2009-W04,2009-01-19,2009,119840,0.12627670226969293,0.4315373152449479,0.43364111946203304,0.6524532917146765,-0.04083209849180525,-0.1329414733049482,0,,,,,0,0.013781306519397574,0,0,Green
2009-W05,2009-01-26,2009,119691,0.17992163153453475,0.4293785562934569,0.4336457106291,0.654608016874112,-0.03867737333236976,-0.17161884663731797,0,,,,,0,0.002154725159435489,0,0,Green
2009-W06,2009-02-02,2009,119717,0.11142945446344295,0.39831466363533236,0.40394492632668544,0.6805612774988179,-0.012724112707663826,-0.1843429593449818,0,,,,,0,0.02595326062470593,0,0,Green
2009-W07,2009-02-09,2009,121610,0.15412383850012334,0.3814069194696879,0.3947226647819547,0.6879134730822771,-0.005371917124204595,-0.1897148764691864,0,,,,,0,0.007352195583459231,0,0,Green
2009-W08,2009-02-16,2009,124047,0.17232984272090418,0.4122905402117588,0.4164507762358209,0.6867356902599366,-0.0065496999465450845,-0.19626457641573147,0,,,,,0,0.0011777828223404896,0,0,Green
2009-W09,2009-02-23,2009,123610,0.16988916754307903,0.41067843449349156,0.41189796584069555,0.709523978912294,0.016238588705812296,-0.18002598770991918,0,,,,,0,0.02278828865235738,0,0,Green
2009-W10,2009-03-02,2009,125163,0.17311825379704865,0.4305808789432047,0.4295892040020113,0.6824580928842653,-0.010827297322216434,-0.1908532850321356,0,0.6742000617032682,0.018765356108976554,0.7117307739212213,0.6366693494853151,0,0.02706588602802873,0,0,Green
2009-W11,2009-03-09,2009,126008,0.1778617230652022,0.43528839598618957,0.42919715008417747,0.6953956457968491,0.0021102555903673714,-0.18874302944176824,0,0.6761269329845028,0.018914700451922253,0.7139563338883472,0.6382975320806583,0,0.012937552912583805,0,0,Green
2009-W12,2009-03-16,2009,126152,0.15386993468197097,0.42465685381243085,0.42132681879074635,0.6912081342949647,-0.002077255911516973,-0.1908202853532852,0,0.6773836997603747,0.018552500473665478,0.7144887007077056,0.6402786988130438,0,0.0041875115018843445,0,0,Green
2009-W13,2009-03-23,2009,126074,0.2197756872947634,0.43259298989050865,0.4171593331235691,0.7305975927513078,0.037312202544826034,-0.15350808280845918,0,0.6814770761442925,0.023094086412008878,0.7276652489683103,0.6352889033202748,1,0.03938945845634301,0,1,Yellow
2009-W14,2009-03-30,2009,125595,0.20901309765516143,0.46516864616903997,0.4374179161620225,0.7196817192935288,0.026396329087047032,-0.12711175372141215,0,0.6842059792263809,0.024424735123647543,0.7330554494736761,0.6353565089790858,0,0.010915873457779002,0,0,Green
2009-W15,2009-04-06,2009,125301,0.16428440315719747,0.4619026986980107,0.44104138183773395,0.7133569119340872,0.020071521727605512,-0.10704023199380663,0,0.686149374740228,0.02471047349096136,0.7355703217221506,0.6367284277583053,0,0.00632480735944152,0,0,Green
2009-W16,2009-04-13,2009,125382,0.1922445008055383,0.4496036754708404,0.4274839752209876,0.7250645438648864,0.03177915365840467,-0.07526107833540197,0,0.6885815728105191,0.025778862130067953,0.7401392970706551,0.6370238485503832,0,0.011707631930799156,0,0,Green
2009-W17,2009-04-20,2009,124919,0.14160375923598492,0.4338274565519101,0.4248407365768171,0.6967383241131931,0.0034529339067114195,-0.07180814442869055,0,0.6890613817106764,0.025038551401736057,0.7391384845141485,0.6389842789072043,0,0.02832621975169325,0,0,Green
2009-W18,2009-04-27,2009,124810,0.1647704510856502,0.4119313281455567,0.4056441560966414,0.7250416713035881,0.031756281097106376,-0.04005186333158417,0,0.6910602866880604,0.025728817626742354,0.7425179219415451,0.6396026514345757,0,0.028303347190394956,0,0,Green
2009-W19,2009-05-04,2009,124347,0.16159617843615046,0.4197062473751725,0.41122434021317816,0.7183783449044228,0.02509295469794104,-0.014958908633643131,0,0.6924980792257637,0.025777384106203328,0.7440528474381704,0.640943311013357,0,0.006663326399165337,0,0,Green
2009-W20,2009-05-11,2009,124549,0.17886133168471846,0.42514537460243085,0.41394827641712545,0.7214180381853569,0.028132647978875158,0.013173739345232027,0,0.6939440771737433,0.02590983291234869,0.7457637429984407,0.6421244113490459,0,0.0030396932809341193,0,0,Green
2009-W21,2009-05-18,2009,121697,0.13209857268461836,0.41144517453546814,0.40903478650513797,0.6986852988302346,0.005399908623752836,0.018573647968984863,0,0.6953584722294736,0.02532223091442951,0.7460029340583326,0.6447140104006145,0,0.022732739355122322,0,0,Green
2009-W22,2009-05-25,2009,124805,0.1547373903289131,0.4051629414599862,0.4002344404183447,0.7229090721973401,0.029623681990858408,0.04819732995984327,0,0.6989481858465106,0.023760764128788275,0.7464697141040872,0.651426657588934,0,0.024223773367105572,0,0,Green
2009-W23,2009-06-01,2009,127567,0.1632553873650709,0.4048084342210735,0.4045874308167374,0.7035035094965733,0.010218119290091532,0.0584154492499348,0,0.7008116314096356,0.02248745603481846,0.7457865434792725,0.6558367193399988,0,0.019405562700766876,0,0,Green
2009-W24,2009-06-08,2009,129910,0.26444461550304055,0.4704895267549849,0.43216402088821626,0.7254991487843049,0.03221375857782316,0.09062920782775796,0,0.704463924263117,0.020016029804765124,0.7444959838726473,0.6644318646535867,0,0.021995639287731628,0,0,Green
2009-W25,2009-06-15,2009,130783,0.21651896653234748,0.49712308115679943,0.4560438541678026,0.707955213563723,0.014669823357241318,0.10529903118499928,0,0.7071312840975976,0.01621641300370373,0.7395641101050051,0.6746984580901901,0,0.01754393522058184,0,0,Green
2009-W26,2009-06-22,2009,130970,0.19258608841719477,0.491337679431357,0.4520025914449179,0.7235401971626065,0.030254806956124813,0.1355538381411241,0,0.709280230080787,0.015333823576397586,0.7399478772335821,0.6786125829279919,0,0.015584983598883495,0,0,Green
2009-W27,2009-06-29,2009,126979,0.18055741500563086,0.46550953978297416,0.4389672946483079,0.7182186785225476,0.024933288316065894,0.16048712645719,0,0.7107954903528004,0.014590613504007935,0.7399767173608163,0.6816142633447846,0,0.00532151864005892,0,0,Green
2009-W28,2009-07-06,2009,131668,0.174993164626181,0.45657655507398043,0.4347135438523238,0.7106449785622448,0.017359588355763123,0.1778467148129531,0,0.711990954767916,0.013450494054666607,0.7388919428772491,0.6850899666585828,0,0.007573699960302771,0,0,Green
2009-W29,2009-07-13,2009,131647,0.16997728774677737,0.4424403587523468,0.4299362696469819,0.694413733731219,0.0011283435247372298,0.17897505833769034,0,0.7112354425088622,0.014009126292315538,0.7392536950934933,0.6832171899242311,0,0.016231244831025893,0,0,Green
2009-W30,2009-07-20,2009,131596,0.1957430317030913,0.4465163144356686,0.42821533189789684,0.7095004261198529,0.016215035913371145,0.19519009425106149,0,0.7125875591706416,0.01228427923708634,0.7371561176448144,0.6880190006964689,0,0.015086692388633915,0,0,Green
2009-W31,2009-07-27,2009,131537,0.28636049172476186,0.48338088189164496,0.42908510603560934,0.747230035090575,0.05394464488409323,0.24913473913515471,0,0.7151792786353279,0.013836195605535218,0.7428516698463984,0.6875068874242575,1,0.037729608970722084,0,1,Yellow
2009-W32,2009-08-03,2009,131322,0.17588827462268317,0.48471974624845005,0.4593041782140274,0.6826805491846276,-0.010604841021854106,0.2385298981133006,0,0.714752899379811,0.014717124893328205,0.7441871491664674,0.6853186495931546,1,0.06454948590594733,1,2,Orange
2009-W33,2009-08-10,2009,130919,0.1755894866291371,0.4628962817402616,0.4417132187405219,0.709456789651507,0.016171399445025325,0.25470129755832593,0,0.7136958592248209,0.01427166742337095,0.7422391940715628,0.685152524378079,0,0.02677624046687943,0,0,Green
2009-W34,2009-08-17,2009,126926,0.21568472968501332,0.4629631277770276,0.4337008146434999,0.7250029121769764,0.03171752197049471,0.28641881952882065,0,0.7139619188689934,0.014437765720203896,0.7428374503094012,0.6850863874285856,0,0.015546122525469386,0,0,Green
2009-W35,2009-08-24,2009,125681,0.12941494736674597,0.4221297830430133,0.4166750730830206,0.7041042288712702,0.0108188386647885,0.29723765819360914,0,0.7134992847158526,0.014605442230723948,0.7427101691773005,0.6842884002544046,0,0.02089868330570621,0,0,Green
2009-W36,2009-08-31,2009,217218,0.0889751309744128,0.35200556767067853,0.36310703428206503,0.6879976475910119,-0.005287742615469826,0.2919499155781393,0,0.7116459399021589,0.015391283331533175,0.7424285065652252,0.6808633732390925,0,0.016106581280258325,0,0,Green
2009-W37,2009-09-07,2009,239326,0.12839390621996774,0.33017552810941775,0.34916040152940214,0.7163257204452046,0.023040330238722873,0.3149902458168622,0,0.7126253097187594,0.015011259777256652,0.7426478292732727,0.6826027901642461,0,0.0283280728541927,0,0,Green
2009-W38,2009-09-14,2009,239326,0.11304246091105856,0.3404867056304902,0.3516581981018339,0.7298989428390107,0.03661355263252897,0.35160379844939116,0,0.7128681732955304,0.015259946184865411,0.7433880656652613,0.6823482809257996,0,0.013573222393806095,0,0,Green
2009-W39,2009-09-21,2009,239280,0.13493814777666333,0.3406902818898836,0.35501576999205475,0.7226054082651332,0.029320018058651476,0.38092381650804263,0,0.713079526463566,0.015369161782772776,0.7438178500291115,0.6823412028980205,0,0.0072935345738774915,0,0,Green
2009-W40,2009-09-28,2009,105078,0.09132263651763452,0.3147801105973053,0.33530980768163976,0.6758459480487229,-0.017439442157758833,0.3634843743502838,0,0.7108009219567343,0.01732199599241645,0.7454449139415672,0.6761569299719014,1,0.04675946021641031,1,2,Orange
2009-W44,2009-11-01,2009,17032,0.09429309534992955,0.33144569521170675,0.3551588480480792,0.6169524402768757,-0.07633294992960604,0.28715142442067776,0,0.7067142790290664,0.027171691479776192,0.7610576619886188,0.6523708960695139,1,0.05889350777184721,1,2,Orange
2009-W45,2009-11-02,2009,120016,0.0753399546727103,0.30417553825894633,0.32681699251874974,0.6321892844834892,-0.06109610572299251,0.22605531869768525,0,0.7021782896433739,0.03154605241104159,0.7652703944654571,0.6390861848212908,1,0.015236844206613531,0,1,Yellow
2009-W46,2009-11-09,2009,119847,0.11234323762797567,0.3073979534415182,0.3347107469733443,0.6796068884621635,-0.013678501744318172,0.21237681695336708,0,0.7009834585916532,0.031943267596807816,0.7648699937852689,0.6370969233980376,0,0.04741760397867434,1,1,Yellow
2009-W47,2009-11-16,2009,120337,0.1213176329807125,0.3299855929879989,0.35582961099759014,0.6642874607925517,-0.02899792941392998,0.1833788875394371,0,0.6979228741920657,0.032399892951393776,0.7627226600948532,0.6331230882892781,0,0.015319427669611807,0,0,Green
2009-W48,2009-11-23,2009,113889,0.10090526740949521,0.3289032099525903,0.34807567491135216,0.6923821926466456,-0.0009031975598361441,0.18247568997960095,0,0.6971442231462117,0.032333161705551255,0.7618105465573142,0.6324778997351093,0,0.028094731854093835,0,0,Green
2009-W49,2009-11-30,2009,119836,0.1642578190193264,0.36813549560246006,0.3839323130995113,0.7019679721044698,0.008682581897988095,0.19115827187758905,0,0.696065611893305,0.031761020993722,0.759587653880749,0.6325435699058609,0,0.00958577945782424,0,0,Green
