Prevention_Rate,Optimal_Threshold,Total_Value_M
0.2,0.40000000000000013,-52660.4715
0.3,0.3500000000000001,-43328.273
0.4,0.3500000000000001,-33862.21
0.5,0.30000000000000004,-24374.745
0.6,0.30000000000000004,-14379.874
