Airline_Type,Normal_Cascading,COVID_Cascading,Absolute_Change,Percent_Change
Hub,0.207059162001038,0.11828499287605856,-0.08877416912497943,-42.87381841356742
P2P,0.22052035522219385,0.15410614310610832,-0.06641421211608553,-30.11704386616252
