Period,Sample_Type,Flights,Disruption_Rate,ROC_AUC,F1_Score,Precision,Recall,Accuracy,True_Positives,False_Positives,True_Negatives,False_Negatives
Financial_Crisis,In-sample,12879455,0.17610892696934768,0.7149569809687628,0.40447170560329104,0.3052551413776384,0.5992424786845176,0.689237782188765,1359194,3093455,7517813,908993
Normal_Operations,In-sample,56099546,0.1903865140013789,0.7086058664535284,0.41605079364457714,0.30900622550652884,0.636567787362448,0.6597958921093586,6798924,15203623,30215326,3881673
COVID_Impact,Out-of-sample,10683751,0.1644116378227085,0.7311083019403567,0.41705727789375757,0.34112363178667654,0.5364761151654993,0.753428360507466,942338,1820115,7107103,814195
Recovery,Out-of-sample,24102781,0.21550878299064327,0.6943511850413617,0.4330658028132672,0.3185905188183439,0.6759449333613894,0.6185961694627686,3511102,7509634,11398786,1683259
