OP_UNIQUE_CARRIER,REGIME,CATE_T1
9E,Pre-COVID,0.34591264
AA,Pre-COVID,0.26725012
AS,Pre-COVID,0.2763406
B6,Pre-COVID,0.3292315
DL,Pre-COVID,0.268584
EV,Pre-COVID,0.35659707
F9,Pre-COVID,0.34370685
G4,Pre-COVID,0.39157072
HA,Pre-COVID,0.36184767
MQ,Pre-COVID,0.3494795
NK,Pre-COVID,0.34058833
OH,Pre-COVID,0.34482694
OO,Pre-COVID,0.35512975
UA,Pre-COVID,0.26328567
US,Pre-COVID,0.26924363
VX,Pre-COVID,0.31061205
WN,Pre-COVID,0.30759683
YV,Pre-COVID,0.33636135
YX,Pre-COVID,0.31902474
