OP_UNIQUE_CARRIER,ORIGIN_AIRPORT,DEST_AIRPORT,CARRIER_TYPE,ROUTE_TYPE,ORIGIN_TIER,CATE_T1,DOWNSTREAM_SPILLOVER,RECOVERY_WINDOW,ROUTE_30DAY_DISR_RATE,TOPSIS_SCORE,TOPSIS_RANK,NEXT_DISRUPTED,RANK_LONGEST_DELAY,RANK_EARLIEST_DEP,RANK_SPILLOVER,RANK_CATE_ONLY,RANK_RANDOM
DL,HPN,ATL,Mainline,Hub-to-Spoke,Small,0.4827915,1,780,0.3021428571428571,1.0,1,0.0,1,1,2,1,2
MQ,AVL,ORD,Regional,Hub-to-Spoke,Small,0.6212636,0,347,0.4833333333333333,1.0,1,0.0,2,1,4,1,5
DL,ECP,ATL,Mainline,Hub-to-Spoke,Small,0.5170017,5,662,0.1142857142857142,1.0,1,0.0,1,1,1,1,4
YV,LBB,DFW,Regional,Hub-to-Spoke,Small,0.48391554,2,421,0.2349206349206349,1.0,1,0.0,3,1,1,1,3
AA,ILM,CLT,Mainline,Hub-to-Spoke,Small,0.6144054,0,385,0.3357142857142857,1.0,1,0.0,1,1,1,1,3
DL,GSO,ATL,Mainline,Hub-to-Spoke,Small,0.5045921,3,410,0.1474603174603174,1.0,1,0.0,2,1,1,1,1
G4,PVU,AZA,ULCC,Spoke-to-Spoke,NonHub,0.4334847,1,296,0.25,1.0,1,0.0,2,1,1,1,2
MQ,LFT,DFW,Regional,Hub-to-Spoke,Small,0.6583732,0,280,0.3083333333333333,1.0,1,0.0,1,1,1,1,1
MQ,GRK,DFW,Regional,Hub-to-Spoke,Small,0.6377361,1,142,0.1202380952380952,1.0,1,1.0,1,1,1,1,2
F9,BQN,MCO,ULCC,Hub-to-Spoke,Small,0.52024627,0,264,0.3444444444444444,1.0,1,1.0,2,1,2,1,1
MQ,AVL,ORD,Regional,Hub-to-Spoke,Small,0.60899144,0,347,0.5166666666666667,1.0,1,1.0,4,1,3,1,1
G4,LCK,MYR,ULCC,Spoke-to-Spoke,NonHub,0.5518167,1,516,0.6333333333333333,1.0,1,1.0,1,1,1,1,3
G4,BLV,PGD,ULCC,Spoke-to-Spoke,NonHub,0.55521715,0,277,0.6333333333333333,1.0,1,0.0,2,1,2,1,1
AA,ICT,DFW,Mainline,Hub-to-Spoke,Small,0.49581593,2,390,0.2844444444444444,1.0,1,1.0,1,1,1,1,1
DL,DAB,ATL,Mainline,Hub-to-Spoke,Small,0.50373924,2,720,0.2138888888888888,1.0,1,1.0,2,1,1,1,3
MQ,MLI,ORD,Regional,Hub-to-Spoke,Small,0.6335351,0,439,0.1111111111111111,1.0,1,1.0,3,1,1,1,2
B6,ACK,LGA,LCC,Hub-to-Spoke,Small,0.562851,1,284,0.2972222222222223,1.0,1,1.0,2,1,1,1,2
MQ,LFT,DFW,Regional,Hub-to-Spoke,Small,0.66789347,1,488,0.2633333333333333,1.0,1,0.0,2,1,1,1,1
QX,PAE,SAN,Regional,Hub-to-Spoke,NonHub,0.46889463,0,270,0.1833333333333333,1.0,1,1.0,2,1,4,1,4
F9,GJT,DEN,ULCC,Hub-to-Spoke,Small,0.6318758,0,211,0.32,1.0,1,1.0,4,1,1,1,2
MQ,GRK,DFW,Regional,Hub-to-Spoke,Small,0.6957781,1,142,0.1353174603174603,1.0,1,1.0,1,1,1,1,3
YV,STS,PHX,Regional,Hub-to-Spoke,Small,0.59640783,0,407,0.2166666666666666,1.0,1,0.0,1,1,3,1,3
OH,EWN,CLT,Regional,Hub-to-Spoke,Small,0.61706567,2,485,0.175,1.0,1,0.0,3,1,1,1,1
OO,SAF,DFW,Regional,Hub-to-Spoke,Small,0.69602686,1,376,0.0833333333333333,1.0,1,0.0,1,1,1,1,2
YV,PIA,DFW,Regional,Hub-to-Spoke,Small,0.6135017,0,186,0.3333333333333333,1.0,1,1.0,1,1,3,1,1
YX,HHH,CLT,Regional,Hub-to-Spoke,Small,0.5525232,2,487,0.311111111111111,1.0,1,1.0,1,1,1,1,1
DL,GSP,ATL,Mainline,Hub-to-Hub,Medium,0.59500366,3,424,0.1837962962962963,1.0,1,0.0,2,1,1,1,1
OO,GRB,ORD,Regional,Hub-to-Spoke,Small,0.5469531,1,770,0.205,1.0,1,0.0,1,1,2,1,3
QX,PAE,SAN,Regional,Hub-to-Spoke,NonHub,0.64209,0,270,0.15,1.0,1,1.0,2,1,3,1,1
OO,DEC,ORD,Regional,Hub-to-Spoke,NonHub,0.65939283,1,536,0.25,1.0,1,1.0,3,1,1,1,1
HA,KOA,HNL,Mainline,Hub-to-Hub,Medium,0.50027853,7,335,0.1850303184399294,1.0,1,0.0,4,1,1,1,3
MQ,CRP,DFW,Regional,Hub-to-Spoke,Small,0.6655618,2,277,0.1671428571428571,1.0,1,0.0,2,1,1,1,1
MQ,FSM,DFW,Regional,Hub-to-Spoke,Small,0.5885254,1,515,0.1638888888888888,1.0,1,0.0,2,1,1,1,1
B6,MVY,JFK,LCC,Hub-to-Spoke,NonHub,0.57834417,0,126,0.4333333333333333,1.0,1,1.0,1,1,2,1,1
HA,ITO,HNL,Mainline,Hub-to-Spoke,Small,0.4716837,6,360,0.1805170401493931,1.0,1,0.0,2,1,1,1,3
MQ,CRP,DFW,Regional,Hub-to-Spoke,Small,0.6029605,2,277,0.2111111111111111,1.0,1,0.0,2,1,1,1,2
OO,GFK,MSP,Regional,Hub-to-Spoke,Small,0.6285087,3,825,0.1222222222222222,1.0,1,1.0,1,1,1,1,3
OO,DRO,DEN,Regional,Hub-to-Spoke,Small,0.7015886,0,223,0.1822222222222222,1.0,1,1.0,1,1,3,1,3
MQ,TVC,ORD,Regional,Hub-to-Spoke,Small,0.58627284,2,394,0.2688888888888889,1.0,1,0.0,3,1,1,1,3
OO,SHV,DFW,Regional,Hub-to-Spoke,Small,0.6837726,1,150,0.1949999999999999,1.0,1,1.0,2,1,1,1,3
9E,MGM,ATL,Regional,Hub-to-Spoke,Small,0.55619335,3,780,0.2416666666666666,1.0,1,0.0,1,1,1,1,2
HA,ITO,HNL,Mainline,Hub-to-Spoke,Small,0.5047734,7,450,0.1762920168067226,1.0,1,0.0,4,1,1,1,4
OO,GRK,DFW,Regional,Hub-to-Spoke,Small,0.66718495,3,376,0.2111111111111111,1.0,1,1.0,2,1,1,1,1
OO,AEX,DFW,Regional,Hub-to-Spoke,Small,0.47275403,1,780,0.2555555555555555,1.0,1,0.0,1,1,1,1,1
QX,PUW,SEA,Regional,Hub-to-Spoke,NonHub,0.7132401,1,379,0.1111111111111111,1.0,1,0.0,2,1,1,1,1
MQ,TVC,ORD,Regional,Hub-to-Spoke,Small,0.6145141,2,394,0.2744444444444444,1.0,1,0.0,2,1,1,1,2
OO,GRB,ORD,Regional,Hub-to-Spoke,Small,0.72424227,0,449,0.21,1.0,1,0.0,1,1,3,1,1
MQ,SHV,DFW,Regional,Hub-to-Spoke,Small,0.6714601,1,395,0.2277777777777778,1.0,1,0.0,5,1,1,1,3
OO,GJT,DEN,Regional,Hub-to-Spoke,Small,0.7733871,1,223,0.1883333333333333,1.0,1,1.0,2,1,1,1,2
OO,CPR,DEN,Regional,Hub-to-Spoke,Small,0.5902764,2,329,0.3055555555555555,1.0,1,1.0,3,1,1,1,3
YX,MVY,LGA,Regional,Hub-to-Spoke,NonHub,0.658814,0,160,0.3,1.0,1,0.0,3,1,3,1,3
F9,SWF,MCO,ULCC,Hub-to-Spoke,Small,0.49708337,0,439,0.4666666666666667,1.0,1,1.0,2,1,1,1,3
MQ,CLL,DFW,Regional,Hub-to-Spoke,Small,0.57018304,2,513,0.2577777777777778,1.0,1,0.0,1,1,1,1,3
MQ,SJT,DFW,Regional,Hub-to-Spoke,Small,0.6893148,2,518,0.1583333333333333,1.0,1,1.0,1,1,1,1,2
