Group,Financial_Crisis,Normal_Operations,COVID_Impact,Recovery
Carrier,0.018105734013995848,0.018082993587845826,0.013754367058160001,0.017190756354293138
Cascading,0.22442971685596835,0.18656257071163176,0.16062311795492293,0.18177193447475376
Historical,0.427287196565581,0.4672270610251297,0.624033537486332,0.43507209745319275
Other,0.09805094290709425,0.07245901153311904,0.10112681872241115,0.09515781364589812
Spatial,0.02485746251864276,0.027108970451931093,0.02002650255522116,0.03017732482805128
Temporal,0.20726894713871766,0.22855939269034267,0.08043565622295293,0.24063007324381094
