Period,Optimal_Threshold,Total_Value_M,Value_Per_Flight,TP,FP,TN,FN,Precision,Recall
Financial_Crisis,0.3500000000000001,-7988.3175,-620.2372305349877,1964003,6570990,4040278,304184,0.23011184660608391,0.8658911280242767
Normal_Operations,0.3500000000000001,-33862.21,-603.6093411522439,9466063,30254685,15164264,1214534,0.2383153257838951,0.886285944502915
COVID_Impact,0.30000000000000004,-6717.159,-628.7266522778376,1482072,5118486,3808732,274461,0.22453738002150728,0.8437484522067049
Recovery,0.30000000000000004,-13866.5335,-575.3084467721795,4926779,15671774,3236646,267582,0.23918082983790173,0.9484860601717902
